ruta_nombre;tipo_ruta;longitud_km;duracion_hr;popularidad
Aruba Central - 1.9;Cultural;267;19;47
Nimble Peak - 3.2;Aventura;315;32;41
Composable Cloud - 6.1;Aventura;795;61;34
Nimble Peak - 4.7;Gastronómica;452;47;45
Nimble Peak - 5.7;Histórica;742;57;32
Ezmeral Valley - 5.2;Ecológica;476;52;36
Ezmeral Valley - 6.0;Histórica;818;60;32
ProLiant Village - 6.9;Cultural;930;69;33
Apollo Heights - 6.2;Aventura;871;62;33
Aruba Central - 7.2;Gastronómica;930;72;36
ProLiant Village - 3.2;Aventura;230;32;31
ProLiant Village - 1.0;Gastronómica;104;10;40
ProLiant Village - 16.6;Cultural;963;166;34
Composable Cloud - 3.0;Aventura;434;30;41
Composable Cloud - 1.1;Ecológica;128;11;41
Simplivity Springs - 8.4;Aventura;686;84;35
GreenLake Shores - 2.8;Histórica;350;28;31
Apollo Heights - 5.6;Cultural;561;56;33
Simplivity Springs - 6.1;Aventura;401;61;47
Alletra City - 6.5;Cultural;684;65;49
Nimble Peak - 2.6;Gastronómica;160;26;41
Alletra City - 3.0;Ecológica;250;30;44
Alletra City - 2.1;Histórica;289;21;31
HPE Innovation Hub - 0.4;Cultural;53;4;43
Alletra City - 6.2;Histórica;574;62;30
Nimble Peak - 1.0;Ecológica;84;10;41
HPE Innovation Hub - 2.5;Cultural;343;25;46
Aruba Central - 6.0;Aventura;698;60;37
ProLiant Village - 5.3;Ecológica;762;53;35
GreenLake Shores - 0.6;Histórica;74;6;37
HPE Innovation Hub - 1.7;Gastronómica;201;17;38
Aruba Central - 1.7;Aventura;240;17;37
Ezmeral Valley - 7.5;Cultural;677;75;36
Nimble Peak - 7.3;Gastronómica;659;73;50
ProLiant Village - 1.1;Cultural;160;11;34
Alletra City - 7.3;Cultural;617;73;46
HPE Innovation Hub - 3.9;Cultural;416;39;35
HPE Innovation Hub - 8.9;Ecológica;929;89;44
Ezmeral Valley - 1.0;Histórica;116;10;37
Simplivity Springs - 4.6;Gastronómica;532;46;37
Alletra City - 2.0;Aventura;232;20;38
GreenLake Shores - 11.4;Histórica;571;114;36
HPE Innovation Hub - 4.0;Histórica;470;40;40
GreenLake Shores - 4.8;Gastronómica;540;48;37
Ezmeral Valley - 12.6;Aventura;816;126;31
Apollo Heights - 3.9;Histórica;444;39;34
HPE Innovation Hub - 2.4;Histórica;282;24;30
Nimble Peak - 1.5;Aventura;217;15;40
Aruba Central - 14.8;Aventura;922;148;33
Apollo Heights - 4.2;Ecológica;616;42;48
